A,B,B_minus_A,V,case_id,seed
6.337680831551552,6.343655109405518,0.005974277853965759,7.65672093629837,sab2_4hf5_h,20260915
2.7444098442792892,2.8471637070178986,0.10275386273860931,4.635959699749947,sab2_4mwf_h,20260915
-3.5636035408824682,-1.8568906635046005,1.7067128773778677,-1.0171752125024796,sab2_5mp6_h,20260915
2.680373251438141,2.997197449207306,0.31682419776916504,3.9364074915647507,sab2_6cvk_b2,20260915
2.9948513507843018,1.775679774582386,-1.2191715762019157,0.18506097048521042,sab2_6e62_b,20260915
5.700084611773491,7.13624495267868,1.4361603409051895,6.313388347625732,sab2_6oq8_d,20260915
-2.7516418397426605,-2.833226829767227,-0.08158499002456665,-2.1095751225948334,sab2_6s2i_a,20260915
5.35843551158905,6.606295645236969,1.2478601336479187,6.853186398744583,sab2_8dpm_d,20260915
7.057882577180862,6.136792004108429,-0.9210905730724335,6.637779280543327,sab2_4hf5_h,43
-0.04817882180213928,4.590450048446655,4.6386288702487946,4.206126254983246,sab2_4mwf_h,43
-1.9911834299564362,-3.6388157960027456,-1.6476323660463095,-3.909671798348427,sab2_5mp6_h,43
2.823267623782158,2.6920523643493652,-0.13121525943279266,3.0045595318078995,sab2_6cvk_b2,43
3.8926948569715023,3.285936623811722,-0.6067582331597805,-0.8987071923911572,sab2_6e62_b,43
6.59181821346283,6.253799676895142,-0.338018536567688,6.391164213418961,sab2_6oq8_d,43
-2.7783254645764828,-0.05555078946053982,2.722774675115943,-3.7566455006599426,sab2_6s2i_a,43
7.705273687839508,6.761779576539993,-0.9434941112995148,5.056848540902138,sab2_8dpm_d,43
7.575915575027466,5.411580562591553,-2.164335012435913,7.315288215875626,sab2_4hf5_h,44
3.9764237217605114,7.567611441016197,3.591187719255686,4.435786247253418,sab2_4mwf_h,44
-4.8637179136276245,-2.462707445025444,2.4010104686021805,-1.978025309741497,sab2_5mp6_h,44
2.0066149830818176,3.137350410223007,1.1307354271411896,3.5582108944654465,sab2_6cvk_b2,44
2.7869078889489174,4.001954481005669,1.2150465920567513,0.29304956644773483,sab2_6e62_b,44
5.934203058481216,6.0393967628479,0.10519370436668396,5.818757236003876,sab2_6oq8_d,44
-0.5210269019007683,-2.035759523510933,-1.5147326216101646,-1.8619690388441086,sab2_6s2i_a,44
6.4102403819561005,5.30784684419632,-1.1023935377597809,5.522132158279419,sab2_8dpm_d,44
