arm,delta_max,delta_mean,delta_min,delta_std,n_seeds
cf,5.565752298986273,4.924845539392638,4.5091664731848455,0.5631509897194995,3
n3,4.408477822334639,3.838262688169877,2.7963457290362568,0.9036699786536395,3
shuffle,3.728229779946685,3.60834143204803,3.5305213917884974,0.10535396797340844,3
