arm,cdr_pll_mean,delta_mean,delta_median,losses,n,wilcoxon_p,wins
sr_uniform,-1.7165553329014025,0.3394239110173193,0.36138101813263257,0,8,0.0078125,8
sr_cf,-1.6897006211926506,0.36627862272607115,0.36675928492207155,0,8,0.0078125,8
cf_vs_uniform,,0.02685471170875184,0.024879810282598336,2,8,0.3828125,6
