arm,delta_mean,invalid_rate,n,reward_mean,wilcoxon_p,wins
diff_only,4.220765628557919,0.00125,100,10.798368990080697,,98
drop_only,4.932214811731662,0.00125,100,11.509818173254441,,94
gain_only,5.25841679337368,0.00125,100,11.836020154896458,,96
cf,4.699617846006793,0.0025,100,11.277221207529573,,98
cf,4.5091664731848455,0.0025,100,11.086769834707624,,97
shuffle,3.5662731244089083,0.0,100,10.143876485931687,,100
shuffle,3.728229779946685,0.00125,100,10.305833141469463,,99
n3,4.309964513138735,0.00125,100,10.887567874661514,,98
n3,4.408477822334639,0.00125,100,10.986081183857417,,96
