base,case_id,cf,cf_minus_diff,diff_minus_n3,diff_only,n3
12.50463354587555,valid100_001,14.240507364273071,0.3160935640335083,-0.5877043008804321,13.924413800239563,14.512118101119995
6.6937366127967834,valid100_002,9.869091033935547,0.6725545525550842,0.5265827178955078,9.196536481380463,8.669953763484955
11.367884576320648,valid100_003,11.292841613292694,0.7285990417003632,0.015366882085800171,10.564242571592331,10.54887568950653
-3.243899926543236,valid100_004,7.4257999658584595,1.0562189221382141,-1.2708927392959595,6.369581043720245,7.640473783016205
12.449485898017883,valid100_005,14.646821975708008,0.23133790493011475,-0.26179540157318115,14.415484070777893,14.677279472351074
9.805517792701721,valid100_006,11.922634959220886,0.8219821751117706,-0.25662399615560183,11.100652784109116,11.357276780264717
9.089552745223045,valid100_007,12.820282340049744,1.9806972742080688,-0.35425424575805664,10.839585065841675,11.193839311599731
7.258361458778381,valid100_008,7.026985824108124,-0.9927535057067871,0.26238879561424255,8.019739329814911,7.757350534200668
4.759582035243511,valid100_009,3.041040450334549,-3.1719363629817963,0.22570856660604477,6.212976813316345,5.9872682467103004
9.852234959602356,valid100_010,13.446730852127075,-0.015117406845092773,0.585929274559021,13.461848258972168,12.875918984413147
7.864870071411133,valid100_011,14.549420356750488,0.6635134220123291,-0.33384454250335693,13.88590693473816,14.219751477241516
-0.11093053221702576,valid100_012,9.76670902967453,1.3975066542625427,-1.0001857578754425,8.369202375411987,9.36938813328743
9.105369508266449,valid100_013,11.169812321662903,-1.4708772897720337,0.8995947241783142,12.640689611434937,11.741094887256622
0.45589257031679153,valid100_014,11.216686367988586,-1.9076637029647827,0.23668622970581055,13.12435007095337,12.887663841247559
11.954490900039673,valid100_015,16.75092601776123,0.23707621438162718,0.06110722678048219,16.513849803379603,16.45274257659912
5.220073718577623,valid100_016,9.061529278755188,1.5358895361423492,-2.8585897386074066,7.525639742612839,10.384229481220245
10.068926930427551,valid100_017,14.173593521118164,1.0605947971343994,0.32514888048171997,13.112998723983765,12.787849843502045
6.423417150974274,valid100_018,12.12597131729126,0.846903920173645,-0.49060893058776855,11.279067397117615,11.769676327705383
-3.457158900797367,valid100_019,4.640601083636284,-0.3894118070602417,0.9920009970664978,5.030012890696526,4.038011893630028
3.2761970162391663,valid100_020,6.616266369819641,-1.3190940618515015,-0.23130330443382263,7.935360431671143,8.166663736104965
5.779438942670822,valid100_021,11.076359152793884,0.452067494392395,-0.3331313133239746,10.62429165840149,10.957422971725464
7.560061827301979,valid100_022,11.703208787100655,1.0241907664707721,-0.35050463676452637,10.679018020629883,11.02952265739441
