arm,heldout_reward,invalid_rate,losses,run,seed,selected_step,valid100_delta,valid100_reward,wilcoxon_p,wins
cf,,0.00125,1,cf_primary,20260913,500,5.565752298986273,12.143355660509052,,99
cf,6.5712214096756725,0.0025,3,cf_s43,43,400,4.5091664731848455,11.086769834707624,,97
cf,6.853463770821691,0.0025,2,cf_s44,44,450,4.699617846006793,11.277221207529573,,98
n3,,0.0,5,n3_primary,20260913,350,2.7963457290362568,9.373949090559035,,95
n3,5.868167701060884,0.00125,4,n3_s43,43,500,4.408477822334639,10.986081183857417,,96
n3,6.550931380130351,0.00125,2,n3_s44,44,500,4.309964513138735,10.887567874661514,,98
shuffle,,0.0,4,shuffle_primary,20260913,450,3.5305213917884974,10.108124753311277,,96
shuffle,4.907527362462133,0.0,0,shuffle_s43,43,450,3.5662731244089083,10.143876485931687,,100
shuffle,4.752882846398279,0.00125,1,shuffle_s44,44,500,3.728229779946685,10.305833141469463,,99
